"",Knowledge,Uncertainty,Leadership,Cognitive
Skills,economy,management,skills,performance
Results-oriented performance,0.791,,,0.186
Digital skills,0.750,,,0.318
Foreign language,0.730,0.163,-0.118,0.273
Cross-cultural and diversity,,,,
competence,0.669,0.241,0.112,-0.114
Teamwork,0.626,,0.271,-0.248
The set of subject-specific,,,,
skills required to successfully,,,,
perform a specific occupation,0.600,0.345,,
Analytical thinking,0.475,,0.305,0.650
Learning to learn,0.389,0.415,0.104,0.463
Self-management,0.372,0.719,0.162,
Ability to cope with change,0.265,0.645,0.164,0.228
Communication and,,,,
interpersonal skills,0.206,,0.794,
Stress management,,0.851,,0.239
Conflict management,,0.842,0.269,
Problem-solving,,0.451,0.674,0.345
Creative thinking,,0.282,0.344,0.753
Decision making,,0.270,0.808,0.229
