"",,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*,
"Architecture9871,1353,0392,0292,8781,0831,0491,568",,,,,,,,,,
"",Business and administration,"1,620","1,863","1,726","1,199","1,701","1,366","1,286","1,239",
Computing412474824565801539508622,,,,,,,,,,
"",Engineering,"2,899","3,332","2,840","1,754","2,488","3,012","1,808","2,966",
Environmental Studies2292638951727394147,,,,,,,,,,
"",Health and Welfare,400,460,514,418,593,571,466,311,
Humanities and Arts541622394564122180214,,,,,,,,,,
"",Journalism and Information,438,504,473,373,529,167,93,159,
"Life Science and Physical Science1,4791,7001,6971,1191,5876391,133606",,,,,,,,,,
"",Manufacturing,-,-,185,118,167,237,332,392,
Mathematics and Statistics188216190109155311288349,,,,,,,,,,
"",Security and Conflict Resolution,-,-,-,-,-,10,17,10,
Services726835604440624366373462,,,,,,,,,,
"",Social and Behavioral Science,145,167,317,248,352,345,318,329,
Other-----905--,,,,,,,,,,
"",Total Undergraduate Students,"10,066","11,572","12,537","8,468","12,011","9,747","7,945","9,374",
"Total Postgraduate (PhDs & Masters)Students87955252568462294",,,,,,,,,,
"",Total Diploma and Certificate Students,"3,674","4,658","2,817","1,707","4,338","5,098","3,065","4,033",
"",,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*,
Architecture----217359288351,,,,,,,,,,
"",Business and administration,"2,067","2,276","2,479","2,550","1,656","1,460","1,374","1,908",
Computing583642653671911985623964,,,,,,,,,,
"",Engineering,"2,068","2,277","2,279","2,345","2,678","2,560","3,358","3,266",
Environment630694728749413327438269,,,,,,,,,,
"",Health and Welfare,-,-,-,-,246,728,633,341,
Journalism and Information338372447460552565813559,,,,,,,,,,
"",Life Science and Physical Science,980,"1,079","1,712","1,761","1,626","1,194","1,162",425,
Mathematics and Statistics377416319328556611500434,,,,,,,,,,
"",Services,324,357,274,282,466,456,414,348,
Social and Behavioral Science----541716623989,,,,,,,,,,
"",Total Undergraduate Students,"7,368","8,111","8,892","9,146","9,861","9,960","10,226","9,854",
"Total Postgraduate (PhDs & Masters)Students115127133137139203249295",,,,,,,,,,
"",Total Diploma and Certificate Students,"3,125","1,288","1,168","2,310","8,775","9,265","12,775","10,739",
"",,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*,
1st Degree Course,,,,,,,,,,
"","Agriculture, Forestry and Fisheries","4,663","3,076","1,768","1,426","1,299",255,869,883,
Architecture--320275---,,,,,,,,,,
"",Business and administration,"3,858","2,546","1,772",706,"1,070",945,897,910,
Computing-486495507367479485,,,,,,,,,,
"",Education (Arts)1 .................................................,"7,608","5,020","6,226","6,181","7,352","5,600","5,659","5,723",
Engineering453299394183183512639641,,,,,,,,,,
"",Environment,916,604,"1,071",822,679,33,524,533,
"Life Science and Physical Science5,6893,7541,050884952546616628",,,,,,,,,,
"",Manufacturing,-,-,-,407,317,-,-,-,
Mathematics and Statistics--405411452381328334,,,,,,,,,,
"",Security and Conflict Resolution,-,-,-,-,-,224,138,131,
Services---37540-393401,,,,,,,,,,
"",Social and Behavioral Science,-,-,-,304,379,264,460,463,
Veterinary---156103-9690,,,,,,,,,,
"",Total Undergraduate Students,"23,187","15,299","13,172","12,332","14,108","9,127","11,098","11,222",
"Total Postgraduate (PhDs & Masters)Students6061041,2851,1995877809798",,,,,,,,,,
"",Total Diploma and Certificate Students,-,442,331,308,223,291,282,303,
"Grand Total23,79315,84514,78813,83914,91810,19811,47711,623Source: University of Eldoret, Commission for University Education* Provisional1 Data includes that of Education ScienceTable 15.12: University of Nairobi - Student Distribution by Faculty, 2016/17 - 2023/24Number",,,,,,,,,,
"",,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*,
1st Degree Course,,,,,,,,,,
"",Agriculture1,"3,067","2,912","3,492","2,436","2,086","1,501","1,446","1,210",
"Architecture and Building1,6841,6003,6983,8543,3002,4391,8171,416",,,,,,,,,,
"",Business and Administration,"6,166","5,856","10,217","7,619","6,524","5,882","1,809","5,336",
Computer Science785746682595509434365634,,,,,,,,,,
"",Education (Arts),"8,283","7,866","6,573","5,982","5,122","3,322","2,570","2,802",
"Education (Science)1,6601,5771,5461,4291,2241,1271,203931",,,,,,,,,,
"",Engineering,"3,643","3,460","2,757","2,535","2,171","3,423","1,908","2,373",
Environment......922789167122289,,,,,,,,,,
"",Health and Welfare,"3,666","3,481","4,010","4,097","3,508","3,581","4,045",707,
"Humanities and Arts9,8299,3358,372103885,4916,4205,592",,,,,,,,,,
"",Journalism and Information,"1,677","1,593","2,588",265,227,301,488,728,
"Law......2,8912,4752,3822,3022,281",,,,,,,,,,
"",Life Science and Physical Science,"5,323","5,055","6,325","5,332","4,566","6,606","2,720","2,403",
Manufacturing999949531964825--9.00,,,,,,,,,,
"",Mathematics and Statistics,"1,640","1,558","1,468","1,254","1,074","1,209",431,"1,780",
"Medicine2..2,3623,026........3,666",,,,,,,,,,
"",Security and Conflict Resolution,-,..,..,..,-,-,-,-,
Services---282241--102,,,,,,,,,,
"",Social and Behavourial Science,"9,215","8,751","2,289","12,054","10,322","1,132","1,208",998,
Veterinary Science199189707376322657621603,,,,,,,,,,
"",Total Undergraduate Students,"57,836","57,288","58,281","52,990","45,374","39,654","29,475","33,860",
"Total Postgraduate (PhDs, Masters &Dip) Students16,63910,35712,2349,97310,1148,0396,7767,961",,,,,,,,,,
"",Total Diploma and Certificate Students,"4,178","1,987","2,816","3,438","2,439","1,469",762,754,
"",,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*
1st Degree Course,,,,,,,,,
"","Agriculture, Forestry and Fishery",76,68,65,59,58,452,394,678
Architecture and Building293260232210207-222-,,,,,,,,,
"",Business and Adminstration,"14,146","12,567","12,069","10,903","10,773","5,146","4,537","3,104"
Computing229204383346342685567326,,,,,,,,,
"",Education (Arts),"9,905","8,799","7,889","7,127","7,042","5,629","2,536","4,569"
"Education (Science)2,4582,1841,5351,3871,3701,7078693,161",,,,,,,,,
"",Engineering,"1,856","1,648","1,156","1,044","1,032","1,808","1,298","1,337"
Environment24216761606857149,,,,,,,,,
"",Health and Welfare,"2,707","2,405","1,912","1,727","1,706","1,745","1,795","1,485"
"Humanities, Arts and Social Sciences3,7853,3631,5351,3871,3703,0763,5963,549",,,,,,,,,
"",Jounalism and Information,"2,501","2,222","1,931","1,744","1,723","2,041","1,787",756
Law212189702634626759850432,,,,,,,,,
"",Life Science and Physical Science,717,637,"1,295","1,170","1,156","2,252",659,659
Manufacturing269239213192190-225-,,,,,,,,,
"",Mathematics and statistics,615,547,502,454,449,-,-,352
"Total Undergraduate Students39,79235,35131,48628,44528,10425,36919,39220,557",,,,,,,,,
"","Total Postgraduate (PhDs & Masters)Students","2,878","2,556",510,499,500,"1,288","1,527",907
Total Diploma and Certificate Students---701272132510330,,,,,,,,,
