Marsabit,"117,324","60,607 56,717",,"58,236 28,889 29,347",49.6 47.7 51.7
Isiolo,"64,153","33,279 30,874",,"41,630 20,890 20,740",64.9 62.8 67.2
Meru,"296,051","148,361 147,690",,"284,239 141,639 142,600",96.0 95.5 96.6
Tharaka-Nithi,"73,019","36,668 36,351",,"70,819 35,498 35,321",97.0 96.8 97.2
Embu,"103,221","51,908 51,313",,"101,292 50,857 50,435",98.1 98.0 98.3
Kitui,"254,763","128,765 125,998",,"245,668 123,947 121,721",96.4 96.3 96.6
Machakos,"253,959","128,237 125,722",,"248,839 125,531 123,308",98.0 97.9 98.1
Makueni,"198,791","100,371 98,420",,"195,220 98,461 96,759",98.2 98.1 98.3
Nyandarua,"125,802","63,997 61,805",,"124,229 63,139 61,090",98.7 98.7 98.8
Nyeri,"121,411","61,334 60,077",,"119,866 60,500 59,366",98.7 98.6 98.8
Kirinyaga,"94,612","47,422 47,190",,"93,346 46,785 46,561",98.7 98.7 98.7
Murang'a,"186,260","94,012 92,248",,"183,802 92,697 91,105",98.7 98.6 98.8
Kiambu,"374,853","186,857 187,996",,"370,028 184,328 185,700",98.7 98.6 98.8
Turkana,"229,715","118,683 111,032",,"85,183 42,658 42,525",37.1 35.9 38.3
West Pokot,"163,686","81,658 82,028",,"121,079 59,996 61,083",74.0 73.5 74.5
Samburu,"80,648","41,076 39,572",,"43,671 22,069 21,602",54.2 53.7 54.6
Trans Nzoia,"233,999","117,238 116,761",,"226,118 112,925 113,193",96.6 96.3 96.9
Uasin Gishu,"230,454","115,360 115,094",,"226,308 113,175 113,133",98.2 98.1 98.3
Elgeyo-Marakwet,"104,259","52,510 51,749",,"101,367 50,988 50,379",97.2 97.1 97.4
Nandi,"195,300","98,438 96,862",,"191,216 96,250 94,966",97.9 97.8 98.0
Baringo,"160,851","82,396 78,455",,"126,210 64,078 62,132",78.5 77.8 79.2
Laikipia,"103,656","52,598 51,058",,"93,783 47,465 46,318",90.5 90.2 90.7
Nakuru,"433,642","218,394 215,248",,"425,078 213,772 211,306",98.0 97.9 98.2
Narok,"304,562","154,153 150,409",,"269,685 136,205 133,480",88.5 88.4 88.7
Kajiado,"219,094","109,302 109,792",,"198,425 98,692 99,733",90.6 90.3 90.8
Kericho,"196,628","98,978 97,650",,"192,898 97,036 95,862",98.1 98.0 98.2
Bomet,"204,102","102,933 101,169",,"200,753 101,115 99,638",98.4 98.2 98.5
Kakamega,"452,999","225,202 227,797",,"440,303 218,361 221,942",97.2 97.0 97.4
Vihiga,"134,497","66,707 67,790",,"132,034 65,353 66,681",98.2 98.0 98.4
Bungoma,"418,769","208,702 210,067",,"403,054 200,277 202,777",96.2 96.0 96.5
Busia,"215,071","106,237 108,834",,"208,487 102,720 105,767",96.9 96.7 97.2
Siaya,"233,921","116,888 117,033",,"229,443 114,475 114,968",98.1 97.9 98.2
Kisumu,"251,947","125,448 126,499",,"247,756 123,250 124,506",98.3 98.2 98.4
Homabay,"280,304","139,864 140,440",,"273,723 136,446 137,277",97.7 97.6 97.7
Migori,"282,122","140,320 141,802",,"271,473 134,901 136,572",96.2 96.1 96.3
Kisii,"298,895","149,838 149,057",,"292,327 146,406 145,921",97.8 97.7 97.9
Nyamira,"140,105","70,514 69,591",,"137,037 68,943 68,094",97.8 97.8 97.8
Nairobi City,"647,031","318,720 328,311",,"628,666 309,542 319,124",97.2 97.1 97.2
National/,Population Age 16-18 Years,Completion Rate,,Gender Parity
Residence/County,Total Male Female,Total Male,Female,Index
KENYA,"3 ,098,406   1,579,384   1,518,942",17.5 17.6,17.4,0.99
Rural,"2 ,324,880   1,214,203   1,110,623",18.0 17.8,18.1,1.02
Urban,"7 73,526 365,181 408,319",16.1 16.6,15.5,0.93
Mombasa,"5 7,124 26,840 30,283",24.7 24.6,24.7,1.01
Kwale,"5 7,049 29,327 27,721",19.2 17.8,20.5,1.15
Kilifi,"1 00,703 50,993 49,710",21.3 19.8,22.7,1.15
Tana River,"1 9,165 9,943 9,222",14.4 14.3,14.5,1.02
Lamu,"8 ,949 4,692 4,257",23.1 22.1,24.3,1.10
Taita-Taveta,"2 0,877 10,828 10,049",26.6 27.9,25.2,0.90
Garissa,"7 1,462 42,813 28,646",4.4 4.5,4.3,0.97
Wajir,"6 2,577 36,256 26,318",4.9 5.0,4.7,0.94
Mandera,"7 0,302 38,108 32,189",5.6 5.9,5.3,0.89
Marsabit,"3 3,948 19,107 14,840",8.0 7.3,8.8,1.19
Isiolo,"1 9,055 10,405 8,650",12.4 11.4,13.6,1.20
Meru,"9 6,491 47,730 48,759",19.5 19.9,19.1,0.96
Tharaka-Nithi,"2 5,470 12,923 12,546",19.4 20.4,18.4,0.90
Embu,"3 8,010 19,512 18,498",21.0 22.1,19.8,0.90
Kitui,"9 0,487 46,347 44,138",24.5 24.1,25.0,1.03
Machakos,"8 7,273 44,692 42,580",21.3 22.5,20.1,0.89
Makueni,"7 3,631 38,197 35,431",23.2 23.9,22.4,0.93
Nyandarua,"4 5,867 23,888 21,977",18.8 21.0,16.3,0.77
Nyeri,"4 4,001 22,776 21,224",14.7 17.0,12.3,0.72
Kirinyaga,"3 4,952 17,908 17,044",17.3 18.6,15.9,0.86
Murang'a,"6 3,953 33,568 30,382",18.3 20.0,16.4,0.82
Kiambu,"1 22,414 59,126 63,287",13.6 15.4,11.9,0.77
Turkana,"6 9,582 39,199 30,381",6.4 6.1,6.9,1.12
West Pokot,"3 8,677 19,770 18,907",13.6 13.2,14.1,1.06
Samburu,"2 0,608 11,439 9,169",9.8 9.2,10.5,1.14
Trans Nzoia,"7 3,214 37,440 35,774",19.7 19.5,20.0,1.03
Uasin Gishu,"7 6,575 38,029 38,546",19.2 19.9,18.4,0.92
Elgeyo-Marakwet,"3 1,742 16,150 15,591",21.6 21.5,21.8,1.01
Nandi,"6 3,722 32,453 31,269",22.5 21.8,23.1,1.06
Baringo,"4 6,802 24,414 22,386",13.9 14.3,13.5,0.94
Laikipia,"3 3,579 17,454 16,124",19.1 20.9,17.2,0.83
Nakuru,"1 36,310 69,085 67,220",19.3 20.6,18.1,0.88
Narok,"7 0,373 37,075 33,296",16.3 15.9,16.8,1.06
Kajiado,"5 7,222 28,100 29,121",17.6 18.1,17.2,0.95
Kericho,"6 1,480 31,173 30,302",18.4 18.8,18.1,0.96
Bomet,"6 2,300 31,815 30,485",18.0 17.5,18.4,1.05
Kakamega,"1 41,619 71,594 70,024",20.1 19.4,20.8,1.08
Vihiga,"4 4,615 22,619 21,995",21.0 20.6,21.3,1.03
Bungoma,"1 25,447 63,412 62,029",18.4 17.9,19.0,1.06
Busia,"6 9,643 34,901 34,739",19.9 18.9,20.9,1.11
Siaya,"6 8,941 34,884 34,057",22.0 21.5,22.5,1.05
Kisumu,"7 8,243 38,597 39,645",20.3 20.4,20.2,0.99
Homabay,"7 9,129 40,318 38,810",19.6 19.4,19.8,1.02
Migori,"7 6,489 38,195 38,291",18.7 18.2,19.1,1.05
Kisii,"8 8,195 44,352 43,840",16.5 16.8,16.1,0.96
Nyamira,"4 1,535 20,864 20,671",15.3 16.1,14.5,0.90
Nairobi City,"1 98,604 90,073 108,519",14.8 15.5,14.3,0.92
National/Residence/,Use of Mobile Phones,Use of Internet,,Use of Desktop Computers/Laptops/Tablets
County,Total Male Female,Total Male,Female,Total Male Female
KENYA,19.7 19.9 19.4,4 .0 4 .3,3 .7,4 .0 4 .1 3 .8
Rural,16.3 16.7 16.0,2 .0 2 .2,1 .7,2 .1 2 .1 2 .0
Urban,30.0 30.4 29.7,1 0.3 1 1.0,9 .6,1 0.0 1 0.6 9 .5
Mombasa,26.2 26.8 25.7,9 .8 1 0.4,9 .2,7 .4 7 .8 7 .1
Kwale,17.0 17.7 16.2,1 .9 2 .2,1 .6,2 .0 2 .1 1 .9
Kilifi,18.5 19.4 17.5,2 .4 2 .9,2 .0,3 .4 3 .4 3 .3
Tana River,13.5 14.1 12.8,1 .6 1 .9,1 .2,1 .5 1 .5 1 .4
Lamu,16.0 16.0 16.0,2 .5 2 .6,2 .3,1 .8 1 .8 1 .9
Taita-Taveta,23.8 24.2 23.4,3 .2 3 .6,2 .8,4 .3 4 .2 4 .4
Garissa,17.1 17.7 16.5,6 .9 7 .2,6 .4,2 .3 2 .4 2 .2
Wajir,12.7 13.1 12.2,3 .9 4 .1,3 .7,1 .5 1 .5 1 .5
Mandera,12.2 12.6 11.8,3 .6 3 .8,3 .5,1 .6 1 .5 1 .7
Marsabit,7.9 8.2 7.6,1 .7 2 .0,1 .4,0 .8 0 .9 0 .8
Isiolo,11.5 12.0 11.1,2 .5 2 .9,2 .2,1 .7 1 .7 1 .6
Meru,21.5 22.1 20.9,3 .2 3 .6,2 .8,2 .6 2 .8 2 .5
Tharaka-Nithi,25.6 25.9 25.3,2 .9 3 .1,2 .6,3 .2 3 .4 3 .1
Embu,25.0 25.4 24.5,3 .5 3 .9,3 .0,4 .1 4 .3 3 .9
Kitui,16.8 17.1 16.4,1 .9 2 .1,1 .6,1 .3 1 .3 1 .3
Machakos,20.8 21.0 20.7,4 .8 5 .0,4 .6,4 .8 4 .9 4 .7
Makueni,17.1 17.2 16.9,1 .7 1 .9,1 .5,2 .1 2 .2 2 .1
Nyandarua,28.5 28.5 28.5,2 .4 2 .6,2 .3,3 .8 3 .8 3 .7
Nyeri,35.5 35.5 35.6,5 .7 6 .2,5 .3,7 .7 7 .9 7 .5
Kirinyaga,31.4 32.0 30.8,4 .0 4 .4,3 .5,4 .3 4 .7 4 .0
Murang'a,26.5 26.8 26.3,3 .1 3 .3,2 .9,4 .1 4 .2 4 .0
Kiambu,33.6 33.7 33.5,1 0.1 1 0.5,9 .7,1 1.4 1 1.8 1 1.1
Turkana,8.3 9.1 7.6,2 .3 2 .8,1 .8,1 .0 1 .1 0 .9
West Pokot,7.9 8.3 7.5,1 .5 1 .7,1 .3,0 .9 0 .9 0 .8
Samburu,10.5 10.7 10.3,2 .0 2 .3,1 .7,1 .5 1 .6 1 .3
Trans Nzoia,14.0 14.3 13.6,2 .1 2 .4,1 .8,2 .0 2 .1 1 .9
Uasin Gishu,19.5 19.7 19.2,4 .1 4 .5,3 .7,5 .3 5 .4 5 .2
Elgeyo-Marakwet,13.2 13.4 12.9,1 .7 1 .9,1 .5,1 .7 1 .8 1 .6
Nandi,13.5 13.9 13.1,2 .0 2 .3,1 .7,2 .4 2 .5 2 .3
Baringo,13.9 14.1 13.7,2 .2 2 .4,1 .9,1 .9 2 .0 1 .8
Laikipia,22.0 22.1 21.8,3 .5 3 .7,3 .2,4 .3 4 .5 4 .1
Nakuru,21.4 21.6 21.2,3 .9 4 .2,3 .6,4 .4 4 .5 4 .2
Narok,10.0 10.5 9.4,1 .6 1 .9,1 .3,1 .4 1 .5 1 .4
Kajiado,21.8 22.3 21.2,7 .9 8 .4,7 .3,8 .1 8 .3 7 .8
Kericho,13.5 13.8 13.1,2 .3 2 .5,2 .0,2 .8 2 .9 2 .7
Bomet,13.4 13.6 13.1,1 .8 2 .1,1 .6,1 .8 2 .0 1 .7
Kakamega,15.4 15.5 15.2,1 .9 2 .1,1 .7,2 .1 2 .2 2 .0
Vihiga,14.4 14.6 14.1,1 .6 1 .8,1 .3,2 .7 2 .7 2 .7
Bungoma,13.4 13.6 13.3,1 .8 2 .0,1 .6,1 .7 1 .8 1 .7
Busia,14.9 15.1 14.7,1 .8 2 .0,1 .6,2 .0 2 .1 1 .9
Siaya,19.1 19.3 18.8,1 .9 2 .1,1 .7,2 .1 2 .1 2 .1
Kisumu,22.0 22.3 21.8,3 .5 3 .9,3 .2,3 .7 3 .9 3 .5
Homabay,19.5 19.8 19.3,2 .2 2 .5,1 .9,1 .9 2 .0 1 .7
Migori,16.5 16.7 16.3,2 .0 2 .2,1 .7,1 .6 1 .7 1 .5
Kisii,17.1 17.5 16.7,2 .0 2 .3,1 .8,2 .7 2 .9 2 .5
Nyamira,17.7 18.1 17.3,2 .4 2 .6,2 .2,2 .7 2 .8 2 .5
Nairobi City,37.3 37.7 37.0,1 6.1 1 6.9,1 5.2,1 4.6 1 5.5 1 3.7
National/,,Population (14-17),Total Enrolment Age 14-17,Total Net Enrolment Rate (Total NER)
Residence/County,Total,Male Female,Total Male Female,Total Male Female
KENYA,"4,557,004","2,324,744  2,232,260","3,907,557  1,971,793  1,935,764",85.7 84.8 86.7
Rural,"3,488,884","1,810,956  1,677,928","2,959,681  1,514,008  1,445,673",84.8 83.6 86.2
Urban,"1,068,120","513,788 554,332","947,876 457,785 490,091",88.7 89.1 88.4
Mombasa,"77,666","37,270 40,396","69,707 34,245 35,462",89.8 91.9 87.8
Kwale,"83,493","42,681 40,812","70,847 36,490 34,357",84.9 85.5 84.2
Kilifi,"144,989","72,998 71,991","133,298 67,581 65,717",91.9 92.6 91.3
Tana River,"29,085","14,988 14,097","18,520 9,640 8,880",63.7 64.3 63.0
Lamu,"12,717","6,600 6,117","10,899 5,671 5,228",85.7 85.9 85.5
Taita-Taveta,"29,651","15,194 14,457","26,799 13,687 13,112",90.4 90.1 90.7
Garissa,"101,553","61,938 39,615","28,391 17,383 11,008",28.0 28.1 27.8
Wajir,"91,441","53,642 37,799","28,069 16,747 11,322",30.7 31.2 30.0
Mandera,"99,511","55,222 44,289","34,165 19,842 14,323",34.3 35.9 32.3
Marsabit,"50,130","28,222 21,908","22,202 11,495 10,707",44.3 40.7 48.9
Isiolo,"28,189","15,458 12,731","16,419 8,278 8,141",58.2 53.6 63.9
Meru,"142,360","70,973 71,387","124,103 60,514 63,589",87.2 85.3 89.1
Tharaka-Nithi,"36,992","18,649 18,343","34,253 17,162 17,091",92.6 92.0 93.2
Embu,"53,986","27,509 26,477","50,067 25,205 24,862",92.7 91.6 93.9
Kitui,"135,288","68,813 66,475","125,337 63,481 61,856",92.6 92.3 93.1
Machakos,"126,551","64,553 61,998","118,353 60,071 58,282",93.5 93.1 94.0
Makueni,"107,809","55,288 52,521","102,477 52,234 50,243",95.1 94.5 95.7
Nyandarua,"67,093","34,814 32,279","63,532 32,520 31,012",94.7 93.4 96.1
Nyeri,"60,937","31,369 29,568","58,736 30,136 28,600",96.4 96.1 96.7
Kirinyaga,"49,306","24,837 24,469","46,611 23,441 23,170",94.5 94.4 94.7
Murang'a,"91,755","47,608 44,147","86,351 44,430 41,921",94.1 93.3 95.0
Kiambu,"169,382","83,305 86,077","159,689 78,514 81,175",94.3 94.2 94.3
Turkana,"101,220","56,817 44,403","36,490 19,417 17,073",36.1 34.2 38.5
West Pokot,"60,900","31,482 29,418","46,855 23,869 22,986",76.9 75.8 78.1
Samburu,"31,397","17,241 14,156","16,886 8,905 7,981",53.8 51.7 56.4
Trans Nzoia,"110,206","55,920 54,286","102,425 51,956 50,469",92.9 92.9 93.0
Uasin Gishu,"110,651","55,099 55,552","105,023 52,342 52,681",94.9 95.0 94.8
Elgeyo-Marakwet,"48,447","24,591 23,856","45,354 22,881 22,473",93.6 93.0 94.2
Nandi,"94,377","47,863 46,514","89,936 45,623 44,313",95.3 95.3 95.3
Baringo,"71,636","37,502 34,134","56,186 28,785 27,401",78.4 76.8 80.3
Laikipia,"48,772","25,293 23,479","42,850 21,926 20,924",87.9 86.7 89.1
Nakuru,"201,235","101,902 99,333","188,060 94,789 93,271",93.5 93.0 93.9
Narok,"112,528","58,238 54,290","96,639 49,354 47,285",85.9 84.7 87.1
Kajiado,"84,825","42,072 42,753","73,819 36,415 37,404",87.0 86.6 87.5
Kericho,"93,470","47,164 46,306","88,029 44,527 43,502",94.2 94.4 93.9
Bomet,"97,073","49,258 47,815","91,699 46,666 45,033",94.5 94.7 94.2
Kakamega,"211,668","105,478 106,190","197,750 98,371 99,379",93.4 93.3 93.6
Vihiga,"64,940","32,702 32,238","61,534 30,812 30,722",94.8 94.2 95.3
Bungoma,"193,065","96,948 96,117","178,968 90,052 88,916",92.7 92.9 92.5
Busia,"102,592","50,986 51,606","94,462 47,063 47,399",92.1 92.3 91.8
