"",,,,,,Left School/Learning,Left School/Learning,Never been to
"",,Total,,,At school/Learning Institution,Institution after completion,Institution before completion,school/Learning Institution
Age Group,Total,Male,,Female,TotalPerMcealne t Female,Total Male Female,Total Male Female,Total Male Female
Kenya,"43,326,094","21,348,725",,"21,977,369",41.4 42.7 40.1,26.4 27.4 25.5,15.8 14.8 16.7,16.4 15.1 17.7
Rural,"29,969,718","14,785,455",,"15,184,263",43.2 44.9 41.6,20.0 20.9 19.2,17.0 16.0 17.9,19.8 18.2 21.4
Urban,"13,356,376","6,563,270",,"6,793,106",37.2 37.6 36.8,40.8 42.1 39.5,13.1 12.2 14.0,8.8 8.1 9.6
3 - 5,"3,706,981","1,865,539",3,"1,841,442",57.3 56.4 58.3,0.2 0.2 0.2,0.1 0.1 0.1,42.4 43.3 41.4
4-5,"2,482,396","1,254,437",,"1,227,959",72.6 71.7 73.5,0.3 0.3 0.3,0.1 0.1 0.1,27.0 27.9 26.1
"",,,4,,,,,
6-13,"10,029,017","5,044,294",,"4,984,723",89.4 88.9 89.8,0.3 0.3 0.3,0.3 0.3 0.3,10.0 10.4 9.6
14-17,"4,534,318","2,312,013",5,"2,222,305",86.4 85.6 87.3,1.9 1.8 2.1,2.8 2.7 2.9,8.8 10.0 7.6
18-22,"4,549,271","2,214,928",6,"2,334,343",45.9 51.0 41.1,27.3 24.5 30.1,16.0 13.6 18.3,10.7 10.9 10.5
23-34,"8,938,652","4,216,519",,"4,722,133",7.2 8.6 5.9,54.5 56.1 53.1,26.1 24.1 27.9,12.1 11.1 13.0
35+,"11,567,855","5,695,432",7,"5,872,423",1.6 1.8 1.5,44.9 50.6 39.4,31.2 31.0 31.4,22.3 16.7 27.7
"",,,,Nairobi City
"",Use of Mobile Phones,Use of Internet,Use of Desktop Computers/Laptops/Tablets,
"",,,,Nyeri
40.0,,,,Kiambu
35.0,,,,Kirinyaga
30.0,,,,Nyandarua
25.0,,,,Murang'a
Mombasa 20.0,,,,
Tharaka-Nithi 15.0,,,,
"",,,,Embu
10.0,,,,
"",,,,Taita-Taveta
5.0,,,,
"",,,,Kisumu
Middle Level Colleges  Number of Persons who,,
"",,Percentage Enrolled
have Lost both Parents  National/Enrolment,,
Residence Total Male Female Total Male Female,,Total Male Female
"KENYA  518,463  247,913  270,550  90,303  48,442   41,861",,17.4 19.5 15.5
"Rural  252,219  125,910  126,309  60,984  33,779   27,205",,24.2 26.8 21.5
"Urban  266,244  122,003  144,241  29,319  14,663   14,656",,11.0 12.0 10.2
"",,Number of Persons who,
"",University Enrolment,,Percentage Enrolled
National/,,have Lost both Parents,
Residence,Total Male Female,Total Male Female,Total Male Female
KENYA,"485,734  276,347  209,387","17,660  11,048 6,612",3.6 4.0 3.2
Rural,"194,421  117,564 76,857","6,439 4,407 2,032",3.3 3.7 2.6
Urban,"291,313  158,783  132,530","11,221 6,641 4,580",3.9 4.2 3.5
"",,,,Proportion with Primary Grade 5-8 Complete,,
"",Population Ever Attended,,Total,Rural,Urban,
Age Group,Total Male Female,Total,Male,Female Total Male Female Total,Male,Female
Kenya,"36,205,835 18,124,919 18,080,916",32.9,31.6,34.2 36.4 35.0 37.9 25.9,24.8,27.0
10 - 14,"5,738,752 2,879,013 2,859,739",48.1,44.9,51.3 45.6 42.2 49.1 55.8,53.5,58.1
15 - 19,"4,736,975 2,380,075 2,356,900",43.6,45.9,41.3 47.9 49.9 45.8 31.7,33.7,29.9
20 - 24,"3,902,727 1,846,545 2,056,182",24.9,23.7,26.0 30.5 28.9 32.2 17.2,15.9,18.2
25 - 29,"3,311,496 1,585,674 1,725,822",31.6,28.3,34.6 41.2 37.4 44.6 21.4,18.7,24.0
30 - 34,"3,005,602 1,438,211 1,567,391",41.0,37.1,44.5 50.9 47.0 54.4 28.8,25.9,31.7
35 - 39,"2,237,206 1,145,357 1,091,849",43.9,42.0,45.9 52.8 50.7 54.9 32.1,30.5,33.7
40 - 44,"1,876,121 969,668 906,453",46.6,44.1,49.3 54.5 51.9 57.1 33.9,32.4,35.7
45 - 49,"1,491,793 779,791 712,002",45.2,41.9,48.8 52.2 48.7 55.6 32.0,30.2,34.2
50 - 54,"1,047,011 546,674 500,337",41.3,38.0,44.9 47.2 43.7 50.8 29.1,27.5,31.0
55 +,"2,341,716 1,305,600 1,036,116",37.4,36.6,38.4 39.8 39.1 40.7 29.2,28.3,30.4
"",,,Proportion with Secondary Form 1 - 2 Complete
"",Population ever Attended,,Total Rural Urban
Age Group,Total Male Female,Total,Male Female Total Male Female Total Male Female
Kenya,"36,205,835  18,124,919  18,080,916",7.7,7.1 8.3 7.8 7.3 8.4 7.4 6.7 8.2
14,"1,093,430 550,795 542,635",6.0,5.1 7.0 4.9 4.1 5.7 9.7 8.4 10.8
15 - 19,"4,736,975 2,380,075 2,356,900",28.3,27.0 29.7 27.5 25.8 29.2 30.7 30.7 30.7
20 - 24,"3,902,727 1,846,545 2,056,182",9.4,8.8 9.9 11.2 10.8 11.6 6.9 5.9 7.7
25 - 29,"3,311,496 1,585,674 1,725,822",6.7,5.4 7.9 7.2 5.9 8.5 6.2 4.8 7.4
30 - 34,"3,005,602 1,438,211 1,567,391",6.4,5.2 7.4 6.4 5.2 7.4 6.4 5.2 7.5
35 - 39,"2,237,206 1,145,357 1,091,849",6.0,5.2 6.8 5.8 4.9 6.7 6.2 5.4 6.9
40 - 44,"1,876,121 969,668 906,453",6.2,5.5 6.9 6.1 5.4 6.9 6.3 5.8 6.9
45 - 49,"1,491,793 779,791 712,002",6.6,6.0 7.2 6.7 6.1 7.4 6.4 5.9 7.0
50 - 54,"1,047,011 546,674 500,337",7.0,6.2 7.9 7.3 6.4 8.2 6.4 5.7 7.3
55+,"2,341,716 1,305,600 1,036,116",7.5,7.4 7.6 7.5 7.6 7.5 7.3 6.8 8.0
Age Group,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
National/,,Population (4-5),,Total Enrolment Age 4-5,Total Net Enrolment Rate (Total NER)
Residence/County,Total,Male Female,,Total Male Female,Total Male Female
KENYA,"2,498,365","1,262,684  1,235,681",,"1,791,376  894,051  897,325",71.7 70.8 72.6
Rural,"1,827,988","925,740 902,248",,"1,242,334  619,781  622,553",68.0 66.9 69.0
Urban,"670,377","336,944 333,433",,"549,042  274,270  274,772",81.9 81.4 82.4
Mombasa,"55,690","27,808 27,882",,"46,133 22,767 23,366",82.8 81.9 83.8
Kwale,"56,492","28,726 27,766",,"34,483 17,114 17,369",61.0 59.6 62.6
Kilifi,"85,478","43,097 42,381",,"61,967 30,714 31,253",72.5 71.3 73.7
Tana River,"23,102","11,847 11,255",,"10,042 5,166 4,876",43.5 43.6 43.3
Lamu,"7,832","4,058 3,774",,"5,138 2,582 2,556",65.6 63.6 67.7
Taita-Taveta,"15,100","7,637 7,463",,"12,895 6,466 6,429",85.4 84.7 86.1
Garissa,"55,967","29,167 26,800",,"6,344 3,312 3,032",11.3 11.4 11.3
Wajir,"59,249","29,829 29,420",,"7,647 3,954 3,693",12.9 13.3 12.6
Mandera,"72,692","34,091 38,601",,"11,542 5,371 6,171",15.9 15.8 16.0
Marsabit,"31,877","16,330 15,547",,"11,253 5,584 5,669",35.3 34.2 36.5
Isiolo,"18,124","9,168 8,956",,"9,310 4,662 4,648",51.4 50.9 51.9
Meru,"69,089","35,076 34,013",,"57,053 28,657 28,396",82.6 81.7 83.5
Tharaka-Nithi,"16,550","8,341 8,209",,"13,578 6,776 6,802",82.0 81.2 82.9
Embu,"24,002","12,234 11,768",,"19,544 9,858 9,686",81.4 80.6 82.3
Kitui,"54,343","27,502 26,841",,"40,823 20,225 20,598",75.1 73.5 76.7
Machakos,"59,155","30,400 28,755",,"49,823 25,374 24,449",84.2 83.5 85.0
Makueni,"41,498","21,174 20,324",,"33,213 16,698 16,515",80.0 78.9 81.3
Nyandarua,"28,468","14,609 13,859",,"24,950 12,711 12,239",87.6 87.0 88.3
Nyeri,"29,102","14,773 14,329",,"26,687 13,496 13,191",91.7 91.4 92.1
Kirinyaga,"22,266","11,161 11,105",,"19,987 9,989 9,998",89.8 89.5 90.0
Murang'a,"44,948","22,795 22,153",,"37,645 18,889 18,756",83.8 82.9 84.7
Kiambu,"100,420","50,819 49,601",,"90,329 45,415 44,914",90.0 89.4 90.6
